id,rdf:type ,dct:rights/cc:attributionName,dct:rights/karstlink:licenceType,dct:rights/dct:created,dct:rights/dct:modified,dct:rights/cc:attributionURL,karstlink:documentType,rdfs:label,dct:subject,dc:langage,gn:countryCode,dct:date,dct:format,dct:identifier,dct:source,dct:creator,dct:publisher,dct:isPartOf,dct:references,karstlink:relatedToUndergoundCavity,karstlink:hasDescriptionDocument/dct:creator,karstlink:hasDescriptionDocument/dc:language,karstlink:hasDescriptionDocument/dct:title,karstlink:hasDescriptionDocument/dct:description
5400000,dct :BibliographicResource,BBS,https://ontology.uis-speleo.org/ontology/#CC-BY,,,https://www.ssslib.ch/bbs/,http://id.loc.gov/vocabulary/marcgt/art,Morfologia carsica (karst morphology),"1,11",,,2015,,,,CICCACCI Sirio,,,,,,,,
5400001,dct :BibliographicResource,BBS,https://ontology.uis-speleo.org/ontology/#CC-BY,,,https://www.ssslib.ch/bbs/,http://id.loc.gov/vocabulary/marcgt/art,En guise de synthèse,"1,11",,,2015,,,,CWEPSS,,,,,Unknow,FR,,L’article est une synthèse des différentes futures missions de la cwepss et perspectives d’actions pour la conservation et sensibilisation des phénomènes karstiques.
5400002,dct :BibliographicResource,BBS,https://ontology.uis-speleo.org/ontology/#CC-BY,,,https://www.ssslib.ch/bbs/,http://id.loc.gov/vocabulary/marcgt/art,Le karst : un milieu fragile aux intérêts multiples,"1,11",,,2015,,,,CWEPSS,,,,,Unknow,FR,,"Présentation générale du karst wallon et de ses différents paysages: pelouses calcaires, massifs rocheux, carrières… sans oublier l’intérêt spéléologique des sites karstiques."
5400003,dct :BibliographicResource,BBS,https://ontology.uis-speleo.org/ontology/#CC-BY,,,https://www.ssslib.ch/bbs/,http://id.loc.gov/vocabulary/marcgt/art,Over grotten en grotvorming (4/4): het ontstaan van gesteenten en mineralen in grotten,"1,11",,,2015,,,,DE SWART Herman,,,,,Unknow,FR,,"Article sur la formation des grottes, plus précisément la genèse des roches et des minéraux des cavernes. L’article traite donc de sédimentologie et de minéralogie: concrétion, glace, calcaire…"
5400004,dct :BibliographicResource,BBS,https://ontology.uis-speleo.org/ontology/#CC-BY,,,https://www.ssslib.ch/bbs/,http://id.loc.gov/vocabulary/marcgt/art,Large epigenic caves in high-relief areas,"1,11",,,2013,,,,HÄUSELMANN Philipp,,,,,Unknow,EN,,"Although the two conditions given in the title (""large epigenic caves"" and ""high-relief area"") already narrows down considerably the caves that fall within these categories, it quickly becomes clear that the geomorphology of such caves is not clear from the beginning. A closer look to literature actually reveals that diverse speleogenetic agents may influence the genesis of such caves. Vertical vadose passages as well as (epi)phreatic base level control are very often seen in large caves in high-relief areas. The key to understand the genesis of these caves is first the notion of time (very often such caves are old and may even present different distinct phases of evolution) and second the evolution of the surface around these caves. Very often, caves in mountaineous areas deliver hints to reconstruct the (spatial and temporal) evolution of the surface morphology. By that, caves in mountains and in lowlands are no different, but surface information within the mountains is usually much more rare because of the intensive erosional processes in such steeply dipping areas."
5400005,dct :BibliographicResource,BBS,https://ontology.uis-speleo.org/ontology/#CC-BY,,,https://www.ssslib.ch/bbs/,http://id.loc.gov/vocabulary/marcgt/art,Zur Entwicklung der Karststrukturen im Riffkalkstein von Iberg und Winterberg bei Bad Grund (Westharz).,"1,11",,,2014,,,,KNAPPE Hartmut,,,,,Unknow,EN,,On the development of karst structures in the western Harz/Germany.
5400006,dct :BibliographicResource,BBS,https://ontology.uis-speleo.org/ontology/#CC-BY,,,https://www.ssslib.ch/bbs/,http://id.loc.gov/vocabulary/marcgt/art,Bande de Liesegang : observation et analyse du développement de fronts de réaction-diffusion dans un milieu karstique inhomogène,"1,11",,,2015,,,,LECOQ Nicolas|MAGNE Laurent|RODET Joël|CHÉDEVILLE Stéphane,,,,,Unknow,FR,,Résumé de communication et de poster. Etude du phénomène des auréoles et bandes de Liesegang.
5400007,dct :BibliographicResource,BBS,https://ontology.uis-speleo.org/ontology/#CC-BY,,,https://www.ssslib.ch/bbs/,http://id.loc.gov/vocabulary/marcgt/art,,"1,11",,,2015,,,,MASTRONUZZI G. (a cura di)|VALLETTA S. (a cura di)|DAMIANI A. (a cura di)|FIORE A. (a cura di)|FRANCESCANGELI R. (a cura di)|GIANDONATO P.B. (a cura di)|IURILLI V. (a cura di)|SABATO L. (a cura di),,,,,Unknow,IT,,"Censimento di oltre 440 emergenze geologiche regionali di cui una gran parte di interesse carso-speleologico. Scheda descrittiva, fotografie e bibliografia per ogni geosito."
5400008,dct :BibliographicResource,BBS,https://ontology.uis-speleo.org/ontology/#CC-BY,,,https://www.ssslib.ch/bbs/,http://id.loc.gov/vocabulary/marcgt/art,Du manteau d’altération au lapiaz : entre racine et puits,"1,11",,,2015,,,,RODET Joël,,,,,Unknow,FR,,Résumé de communication. Etude sur l’aquifère suspendu dans les formations artificielles.
5400009,dct :BibliographicResource,BBS,https://ontology.uis-speleo.org/ontology/#CC-BY,,,https://www.ssslib.ch/bbs/,http://id.loc.gov/vocabulary/marcgt/art,Geositi carsici dell’area dei Monti di Capo San Vito (Sicilia nord-occidentale),"1,11",,,2015,,,,RUGGIERI Rosario|MESSINA PANFALONE Davide,,,,,,,,
