id,rdf:type ,dct:rights/cc:attributionName,dct:rights/karstlink:licenceType,dct:rights/dct:created,dct:rights/dct:modified,dct:rights/cc:attributionURL,karstlink:documentType,rdfs:label,dct:subject,dc:langage,gn:countryCode,dct:date,dct:format,dct:identifier,dct:source,dct:creator,dct:publisher,dct:isPartOf,dct:references,karstlink:relatedToUndergoundCavity,karstlink:hasDescriptionDocument/dct:creator,karstlink:hasDescriptionDocument/dc:language,karstlink:hasDescriptionDocument/dct:title,karstlink:hasDescriptionDocument/dct:description
1,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Les Cévennes,,FR,FR,1890,,,https://gallica.bnf.fr/ark:/12148/bpt6k377547s,Édouard-Alfred Martel,,,,,,,,
2,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Les abîmes,,FR,FR,1894,,,http://jubilotheque.upmc.fr/ead.html?id=GH_000489_001,Édouard-Alfred Martel,,,,,,,,
3,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Le massif de la Bernina,,FR,FR,1894,,,https://www.e-rara.ch/zut/wihibe/content/titleinfo/9589069,Édouard-Alfred Martel,,,,,,,,
4,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Irlande et cavernes anglaises,,FR,FR,1897,,,http://docnum.unistra.fr/cdm/ref/collection/coll11/id/59663,Édouard-Alfred Martel,,,,,,,,
5,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Le Trayas et L'Estérel,,FR,FR,1899,,,,Édouard-Alfred Martel,,,,,,,,
6,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,"La Spéléologie, ou science des cavernes",,FR,FR,1900,,,http://jubilotheque.upmc.fr/ead.html?id=GH_000490_001,Édouard-Alfred Martel,,,,,,,,
7,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Les Cavernes de la Grande-Chartreuse et du Vercors,,FR,FR,1900,,,https://gallica.bnf.fr/ark:/12148/bpt6k5544976s,Édouard-Alfred Martel,,,,,,,,
8,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Cavernes de la région des Causses,,FR,FR,1900,,,,Édouard-Alfred Martel,,,,,,,,
9,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Le gouffre et la rivière souterraine de Padirac (Lot),,FR,FR,1901,,,http://jubilotheque.upmc.fr/ead.html?id=GR_000410_001,Édouard-Alfred Martel,,,,,,,,
10,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,La Photographie souterraine,,FR,FR,1903,,,,Édouard-Alfred Martel,,,,,,,,
11,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,La spéléologie aux XXe siècle,,FR,FR,1905,,,,Édouard-Alfred Martel,,,,,,,,
12,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Le sol et l'eau – Traité d'hygiène,,FR,FR,1906,,,https://gallica.bnf.fr/ark:/12148/bpt6k63840827?rk=21459,Édouard-Alfred Martel,,,,,,,,
13,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,L'évolution souterraine,,FR,FR,1908,,,http://jubilotheque.upmc.fr/ead.html?id=GH_000492_001,Édouard-Alfred Martel,,,,,,,,
14,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,La Côte d'azur russe: Riviera du Caucase,,FR,FR,1909,,,https://archive.org/details/lactedazurrusse00mart,Édouard-Alfred Martel,,,,,,,,
15,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Les cavernes et les rivières souterraines de la Belgique V.1,,FR,BE,1910,,,,Édouard-Alfred Martel,,,,,,,,
16,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Les cavernes et les rivières souterraines de la Belgique V.2,,FR,BE,1910,,,,Édouard-Alfred Martel,,,,,,,,
17,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Notice sur les travaux scientifiques,,FR,FR,1911,,,https://archive.org/details/BIUSante_110133x104x09,Édouard-Alfred Martel,,,,,,,,
18,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Nouveau traité des eaux souterraines,,FR,FR,1921,,,http://jubilotheque.upmc.fr/ead.html?id=GH_000495_001,Édouard-Alfred Martel,,,,,,,,
19,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,Les causses et gorges du Tarn,,FR,FR,1926,,,,Édouard-Alfred Martel,,,,,,,,
20,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,L'Aven Armand,,FR,FR,1927,,,,Édouard-Alfred Martel,,,,,,,,
21,dct:BibliographicResource,Graziano W. Ferrari,CC-BY-SA,2020-12-27,2020-12-27,http://www.gwferrari.it/RivisteSpeleo/BiblioMartel/BiblioMartel.html,Text,La France ignorée: Sud-Est de la France,,FR,FR,1928,,,http://jubilotheque.upmc.fr/ead.html?id=GH_000494_001,Édouard-Alfred Martel,,,,,,,,
