id,rdf:type ,dct:rights/cc:attributionName,dct:rights/karstlink:licenceType,dct:rights/dct:created,dct:rights/dct:modified,dct:rights/cc:attributionURL,karstlink:documentType,rdfs:label,dct:subject,dc:langage,gn:countryCode,dct:date,dct:format,dct:identifier,dct:source,dct:creator,dct:publisher,dct:isPartOf,dct:references,karstlink:relatedToUndergoundCavity,karstlink:hasAccessDocument/dct:creator,karstlink:hasAccessDocument/dc:language,karstlink:hasAccessDocument/dct:title,karstlink:hasAccessDocument/dct:description,
110756,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,[Barier] : Russian Speleological Bulletin,,,RU,,,,,,Club de Spéléologie Barier,,,,SSS Société Suisse de Spéléologie,FR,,8-10 fois par année.ΩNo 7 (1995) ->,
110726,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,"[Bezdna : informacionnyi vestnik, Prilozenie k zurnaluy «Turist»]",,,RU,,,,,,Associacija sovetstih speleologor,,,,SSS Société Suisse de Spéléologie,FR,,1 (janvar-ijun 1990).,
110979,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,[Bulletin de l'Institut de géographie],,,BG,,,,,,Académie bulgare des sciences,,,,SSS Société Suisse de Spéléologie,FR,,Annuel.ΩTome 1 (1951) - Tome 16 (1974).ΩDevient : Problems of geography.,
111533,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,[Bulletin du] Comité spéléologique Provence Côte d'Azur,,,FR,,,,,,Comité spéléologique Provence Côte d'Azur,,,,SSS Société Suisse de Spéléologie,FR,,Incomplet,
110981,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,[Bulletin of the Geological Institute : serie engineering geology and hydrogeology],,,BG,,,,,,Bulgarian Academy of sciences,,,,SSS Société Suisse de Spéléologie,FR,,Annuel.Ω17/18 (1969) - 23 (1974).ΩDevient : Engineering geology and hydrogeology.,
110980,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,"[Bulletin of the Geological Institute : series geochemistry, mineralogy and petrography]",,,BG,,,,,,Bulgarian Academy of sciences,,,,SSS Société Suisse de Spéléologie,FR,,"Annuel.Ω18 (1969) - 22 (1973).ΩDevient : Geochemistry, mineralogy and petrology.",
110973,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,[Bulletin of the Geological Institute : series metallic and non-metallic mineral deposits],,,BG,,,,,,Bulgarian Academy of sciences,,,,SSS Société Suisse de Spéléologie,FR,,Annuel.ΩVol. 19/20 (1971) - Vol. 23 (1974).,
110671,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,[Bulletin of the Yamaguchi caving club],,,JP,,,,,,Caving Club,,,,SSS Société Suisse de Spéléologie,FR,,Semestriel.Ω10 (April 1975) - 14 (December 1975).ΩEn japonais.,
110724,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,[Caves : former speleological bulletin],,,RU,,,,,,Insitute of karstology and speleology,,,,SSS Société Suisse de Spéléologie,FR,,Irrégulier.ΩNo 1 (1961) - no 6 (1966).ΩFait suite à : Speleological bulletin of the Institute of Natural sciences.ΩDevient : Peshchery.,
110722,dct :BibliographicResource,Bibliothèque de la Société Suisse de Spéléologie,CC-BY-SA,,,https://www.ssslib.ch,Collection,[Earth research : collected articles of the Moscow Society of naturalists],,,RU,,,,,,Society of Naturalists,,,,SSS Société Suisse de Spéléologie,FR,,"New serie, volume X (1974) - volume XII (1980).",
