id,rdf:type,dct:rights/cc:attributionName,dct:rights/karstlink:licenceType,dct:rights/dct:created,dct:rights/dct:modified,dct:rights/cc:attributionURL,rdfs:label,gn:alternateName,schema:containedInPlace,w3geo:latitude ,w3geo:longitude,w3geo:altitude,dwc:coordinatePrecision ,karstlink:length ,karstlink:verticalExtend,karstlink:extendBelowEntrance,karstlink:extendAboveEntrance,gn:countryCode,karstlink:discoveredBy,karstlink:hasAccessDocument/dct:creator,karstlink:hasAccessDocument/dc:language,karstlink:hasAccessDocument/dct:title,karstlink:hasAccessDocument/dct:description,karstlink:hasDescriptionDocument/dct:creator,karstlink:hasDescriptionDocument/dc:language,karstlink:hasDescriptionDocument/dct:title,karstlink:hasDescriptionDocument/dct:description
2730,karstlink:UndergroundCavity ,Martin Ellis,CC-BY-SA,11/10/2014,11/10/2014,https://www.thailandcaves.shepton.org.uk,Tham Phra,MU0001,,16.428071828746663,98.77997589288947,365,,0,0,,,TH,,Martin Ellis,EN,,This is a rock shelter with a seated Buddha and other images which attract many pilgrims. There is also a resurgence here which is the source of the stream that flows over the Nam Tok Tham Phra.,Martin Ellis,EN,,Phu Tham Phra is a sandstone plateau at the southern endd of the Phu Pha Thoep National Park.
2731,karstlink:UndergroundCavity ,Martin Ellis,CC-BY-SA,11/10/2014,11/10/2014,https://www.thailandcaves.shepton.org.uk,Tham Men,MU0002,,16.35605253910806,98.44991376422931,320,,0,0,,,TH,,Martin Ellis,EN,,,Martin Ellis,EN,,"The hill is near the border with Yasothon, 7.75km west of Ban Khlong Sai on the H212. The hill is also known as Phu Lom Khum."
2733,karstlink:UndergroundCavity ,Martin Ellis,CC-BY-SA,28/04/2019,28/04/2019,https://www.thailandcaves.shepton.org.uk,Tham Fa Meu Daeng,MU0005,,16.464999548307713,98.77099678982306,210,,3,0,,,TH,,Martin Ellis,EN,,"This is a rock shelter, 60m long and 3m deep, which is decorated with pre-historic paintings of hands. These have been dated to 3,000 years BP.",Martin Ellis,EN,,"The cave is in the centre of the National Park, to the south of the Huai Sing reservoir."
2734,karstlink:UndergroundCavity ,Martin Ellis,CC-BY-SA,19/12/2016,19/12/2016,https://www.thailandcaves.shepton.org.uk,Tham Tin Daeng,MU0006,,16.465369714472857,98.77056540612976,210,,0,0,,,TH,,Martin Ellis,EN,,This is a rock art site.,Martin Ellis,EN,,"The cave is in the centre of the National Park, to the south of the Huai Sing reservoir."
2735,karstlink:UndergroundCavity ,Martin Ellis,CC-BY-SA,13/04/2019,13/04/2019,https://www.thailandcaves.shepton.org.uk,Tham Pha Taem,MU0007,,16.23678355455507,98.779675052059,280,,0,0,,,TH,,Martin Ellis,EN,,"This site is a 75 m long and 12 m high overhanging sandstone cliff containing prehistoric paintings. -  - CHAROENWONGSA, PHISIT (1989) - site 130",Martin Ellis,EN,,"The cliff is just north of the park headquarters which is on the H2277, 2km east of Ban Nong Mek"
2736,karstlink:UndergroundCavity ,Martin Ellis,CC-BY-SA,03/12/2016,03/12/2016,https://www.thailandcaves.shepton.org.uk,Tham Kia,MU0009,,16.552657263251966,98.36735174313056,265,,0,0,,,TH,,Martin Ellis,EN,,"The temple was visited in 2015 by John Dunkley, but there was no sign of a cave.",Martin Ellis,EN,,"The Tham Kia pagoda is in the grounds of a large temple, 2km north of the H2042 at Kham Cha-I."
2737,karstlink:UndergroundCavity ,Martin Ellis,CC-BY-SA,03/12/2016,03/12/2016,https://www.thailandcaves.shepton.org.uk,Tham Phra,MU0011,,16.576467806512756,98.39492559881587,285,,0,0,,,TH,,Martin Ellis,EN,,"The hill was visited by John Dunkley in 2015, but there was no sign of a cave.",Martin Ellis,EN,,"This sandstone hill is 2.5km west of the H2042 at Kham Cha-I, to the north of the HuaiMuk reservoir."
2738,karstlink:UndergroundCavity ,Martin Ellis,CC-BY-SA,11/10/2014,11/10/2014,https://www.thailandcaves.shepton.org.uk,Tham Plong,MU0012,,16.733895435341815,98.47651619382044,355,,0,0,,,TH,,Martin Ellis,EN,,,Martin Ellis,EN,,"This hill is 4.4km south-west of Ban Nong Khaen, a village on the H2287."
2739,karstlink:UndergroundCavity ,Martin Ellis,CC-BY-SA,10/10/2014,10/10/2014,https://www.thailandcaves.shepton.org.uk,Tham Nok,MU0013,,16.818935198958027,98.38705705837533,225,,0,0,,,TH,,Martin Ellis,EN,,,Martin Ellis,EN,,The temple is 750m north of the H2287 at Ban Phang Daeng.
2740,karstlink:UndergroundCavity ,Martin Ellis,CC-BY-SA,14/04/2017,14/04/2017,https://www.thailandcaves.shepton.org.uk,Tham Chang,MU0014,,16.491770907419497,98.4988152490797,250,,100,0,,,TH,,Martin Ellis,EN,,"From the car park over 235 steps lead up steeply to the 100m long, 5-6m deep by 2.5 m high rock shleter. There is some evidence of water erosion along the inner part of the overhang. There is a second, 40m long, shelter nearby.",Martin Ellis,EN,,The temple is on the southern slopes of Phu Tham Phra. From Na Sok drive 6km around the northern and western sides of the hill before turning north and driving another 1km to the temple which is on top of the hill. To get to the rock shelters continue past the turning to the temple and continue around the bottom of the hill to a signposted turning up a steep and narrow concrete road to a car park at 48Q 446425 1822950
2741,karstlink:UndergroundCavity ,Martin Ellis,CC-BY-SA,14/04/2017,14/04/2017,https://www.thailandcaves.shepton.org.uk,Tham Champa Kantasilawat,MU0015,,16.473150766230916,98.38420184129816,280,,8,0,,,TH,,Martin Ellis,EN,,"This is a large overhang, 90m long and up to 8m deep, which is partly propped up by concrete 'tree pillars' and some real trees grow through the cement slab floor. At the north-easterly end the cave is roofed over naturally to form a short tunnel 4m wide and 2m high.",Martin Ellis,EN,,"The temple is at the base of the south-west facing escaprment of the forested sandstone massif, 3.25 km east of the H2370 at Nong Sung. The road to the temple is concrete and the last section is steep."
2742,karstlink:UndergroundCavity ,Martin Ellis,CC-BY-SA,11/10/2014,11/10/2014,https://www.thailandcaves.shepton.org.uk,Tham Pha Daeng Puttakan,MU0016,,16.539020556579334,98.30601262334821,300,,0,0,,,TH,,Martin Ellis,EN,,,Martin Ellis,EN,,"From Kham Cha-I drive west, past the Kham Cha-I waterfall park for 7km before turning south and driving for 1.5km to the temple which is on top of the forested hills."
